Source ID,Source Name,Source Type,Reading Date,Period Volume,Unit,Notes
SRC-NORTH,Well 1 - North,well,2024-08-14,1455483,gallons,Monthly totalizer
SRC-SOUTH,Well 2 - South,well,2024-08-14,1084185,gallons,Monthly totalizer
SRC-NORTH,Well 1 - North,well,2024-09-14,1235758,gallons,
SRC-SOUTH,Well 2 - South,well,2024-09-14,943211,gallons,
SRC-NORTH,Well 1 - North,well,2024-10-14,1012613,gallons,
SRC-SOUTH,Well 2 - South,well,2024-10-14,905140,gallons,
SRC-NORTH,Well 1 - North,well,2024-11-14,826475,gallons,
SRC-SOUTH,Well 2 - South,well,2024-11-14,614415,gallons,
SRC-NORTH,Well 1 - North,well,2024-12-14,818682,gallons,
SRC-SOUTH,Well 2 - South,well,2024-12-14,608627,gallons,
SRC-NORTH,Well 1 - North,well,2025-01-14,793273,gallons,
SRC-SOUTH,Well 2 - South,well,2025-01-14,698153,gallons,
SRC-NORTH,Well 1 - North,well,2025-02-14,854059,gallons,
SRC-SOUTH,Well 2 - South,well,2025-02-14,634934,gallons,
SRC-NORTH,Well 1 - North,well,2025-03-14,1086041,gallons,
SRC-SOUTH,Well 2 - South,well,2025-03-14,877965,gallons,
SRC-NORTH,Well 1 - North,well,2025-04-14,1098345,gallons,
SRC-SOUTH,Well 2 - South,well,2025-04-14,879325,gallons,
SRC-NORTH,Well 1 - North,well,2025-05-14,1251934,gallons,
SRC-SOUTH,Well 2 - South,well,2025-05-14,936055,gallons,
SRC-NORTH,Well 1 - North,well,2025-06-14,1390570,gallons,
SRC-SOUTH,Well 2 - South,well,2025-06-14,1158347,gallons,
SRC-NORTH,Well 1 - North,well,2025-07-14,1404492,gallons,
SRC-NORTH,Well 1 - North,well,2025-08-14,1383295,gallons,
SRC-SOUTH,Well 2 - South,well,2025-08-14,1258806,gallons,
SRC-NORTH,Well 1 - North,well,2025-09-14,1257889,gallons,
SRC-SOUTH,Well 2 - South,well,2025-09-14,916490,gallons,
SRC-NORTH,Well 1 - North,well,2025-10-14,1095739,gallons,
SRC-SOUTH,Well 2 - South,well,2025-10-14,905193,gallons,
SRC-NORTH,Well 1 - North,well,2025-11-14,785106,gallons,
SRC-SOUTH,Well 2 - South,well,2025-11-14,671349,gallons,
SRC-NORTH,Well 1 - North,well,2025-12-14,841635,gallons,
SRC-SOUTH,Well 2 - South,well,2025-12-14,658574,gallons,
SRC-NORTH,Well 1 - North,well,2026-01-14,792778,gallons,
SRC-SOUTH,Well 2 - South,well,2026-01-14,696341,gallons,
SRC-NORTH,Well 1 - North,well,2026-02-14,816862,gallons,
SRC-SOUTH,Well 2 - South,well,2026-02-14,655156,gallons,
SRC-NORTH,Well 1 - North,well,2026-03-14,1020305,gallons,
SRC-SOUTH,Well 2 - South,well,2026-03-14,924532,gallons,
SRC-NORTH,Well 1 - North,well,2026-04-14,1061345,gallons,
SRC-SOUTH,Well 2 - South,well,2026-04-14,950430,gallons,
SRC-NORTH,Well 1 - North,well,2026-05-14,1261446,gallons,
SRC-SOUTH,Well 2 - South,well,2026-05-14,932032,gallons,
SRC-NORTH,Well 1 - North,well,2026-06-14,1448274,gallons,
SRC-SOUTH,Well 2 - South,well,2026-06-14,1154598,gallons,
SRC-NORTH,Well 1 - North,well,2026-07-14,1376305,gallons,
SRC-SOUTH,Well 2 - South,well,2026-07-14,1162956,gallons,
